1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: B20000005112BA21,,
Is Mission Active?  true,,
Mission Start:  Thu Jun 04 14:01:00 PDT 2020,,
Sample Rate:  Every 60 minute(s),,
Number of Mission Samples:  1820,,
Total Samples:  11846,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has NOT occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 °C,,
Low Temperature Alarm:  -40 °C,,
,,
Date/Time,Unit,Value
2011-06-20 5:01,C,11.5
2011-06-20 6:01,C,11.5
2011-06-20 7:01,C,11.5
2011-06-20 8:01,C,11.5
2011-06-20 9:01,C,11.5
2011-06-20 10:01,C,11.5
2011-06-20 11:01,C,19.5
2011-06-20 12:01,C,20.5
2011-06-20 13:01,C,30.5
2011-06-20 14:01,C,32.5
2011-06-20 15:01,C,32.5
2011-06-20 16:01,C,27.5
2011-06-20 17:01,C,26
2011-06-20 18:01,C,20
2011-06-20 19:01,C,16.5
2011-06-20 20:01,C,12
2011-06-20 21:01,C,12
2011-06-20 22:01,C,12
2011-06-20 23:01,C,11.5
2012-06-20 0:01,C,11
2012-06-20 1:01,C,11.5
2012-06-20 2:01,C,11.5
2012-06-20 3:01,C,11.5
2012-06-20 4:01,C,11.5
2012-06-20 5:01,C,11.5
2012-06-20 6:01,C,11.5
2012-06-20 7:01,C,11.5
2012-06-20 8:01,C,11.5
2012-06-20 9:01,C,11.5
2012-06-20 10:01,C,11.5
2012-06-20 11:01,C,12
2012-06-20 12:01,C,14
2012-06-20 13:01,C,17.5
2012-06-20 14:01,C,26
2012-06-20 15:01,C,27
2012-06-20 16:01,C,23.5
2012-06-20 17:01,C,21.5
2012-06-20 18:01,C,17
2012-06-20 19:01,C,15
2012-06-20 20:01,C,12.5
2012-06-20 21:01,C,12
2012-06-20 22:01,C,11.5
2012-06-20 23:01,C,11.5
2013-06-20 0:01,C,11
2013-06-20 1:01,C,11
2013-06-20 2:01,C,11.5
2013-06-20 3:01,C,11.5
2013-06-20 4:01,C,11
2013-06-20 5:01,C,11.5
2013-06-20 6:01,C,10
2013-06-20 7:01,C,11.5
2013-06-20 8:01,C,15.5
2013-06-20 9:01,C,13
2013-06-20 10:01,C,15
2013-06-20 11:01,C,15
2013-06-20 12:01,C,14
2013-06-20 13:01,C,13
2013-06-20 14:01,C,24.5
2013-06-20 15:01,C,19.5
2013-06-20 16:01,C,17.5
2013-06-20 17:01,C,21.5
2013-06-20 18:01,C,18
2013-06-20 19:01,C,15
2013-06-20 20:01,C,14.5
2013-06-20 21:01,C,13
2013-06-20 22:01,C,13
2013-06-20 23:01,C,12.5
2014-06-20 0:01,C,12.5
2014-06-20 1:01,C,11.5
2014-06-20 2:01,C,11.5
2014-06-20 3:01,C,11.5
2014-06-20 4:01,C,11.5
2014-06-20 5:01,C,11.5
2014-06-20 6:01,C,9.5
2014-06-20 7:01,C,12
2014-06-20 8:01,C,17.5
2014-06-20 9:01,C,16
2014-06-20 10:01,C,13.5
2014-06-20 11:01,C,12.5
2014-06-20 12:01,C,12.5
2014-06-20 13:01,C,12.5
2014-06-20 14:01,C,12.5
2014-06-20 15:01,C,12.5
2014-06-20 16:01,C,13.5
2014-06-20 17:01,C,13.5
2014-06-20 18:01,C,14.5
2014-06-20 19:01,C,13
2014-06-20 20:01,C,12
2014-06-20 21:01,C,12
2014-06-20 22:01,C,12
2014-06-20 23:01,C,12
2015-06-20 0:01,C,12
2015-06-20 1:01,C,12
2015-06-20 2:01,C,11.5
2015-06-20 3:01,C,11
2015-06-20 4:01,C,11
2015-06-20 5:01,C,11.5
2015-06-20 6:01,C,11
2015-06-20 7:01,C,12
2015-06-20 8:01,C,13
2015-06-20 9:01,C,12.5
2015-06-20 10:01,C,12.5
2015-06-20 11:01,C,14.5
2015-06-20 12:01,C,15.5
2015-06-20 13:01,C,12
2015-06-20 14:01,C,11.5
2015-06-20 15:01,C,12
2015-06-20 16:01,C,12
2015-06-20 17:01,C,12
2015-06-20 18:01,C,12
2015-06-20 19:01,C,12
2015-06-20 20:01,C,12
2015-06-20 21:01,C,12
2015-06-20 22:01,C,12
2015-06-20 23:01,C,12
2016-06-20 0:01,C,11.5
2016-06-20 1:01,C,11.5
2016-06-20 2:01,C,11.5
2016-06-20 3:01,C,11.5
2016-06-20 4:01,C,11
2016-06-20 5:01,C,11
2016-06-20 6:01,C,9.5
2016-06-20 7:01,C,15
2016-06-20 8:01,C,19.5
2016-06-20 9:01,C,21.5
2016-06-20 10:01,C,24
2016-06-20 11:01,C,27
2016-06-20 12:01,C,28.5
2016-06-20 13:01,C,23.5
2016-06-20 14:01,C,14
2016-06-20 15:01,C,13
2016-06-20 16:01,C,12.5
2016-06-20 17:01,C,12.5
2016-06-20 18:01,C,12
2016-06-20 19:01,C,12
2016-06-20 20:01,C,12
2016-06-20 21:01,C,12.5
2016-06-20 22:01,C,12.5
2016-06-20 23:01,C,12
2017-06-20 0:01,C,12
2017-06-20 1:01,C,12
2017-06-20 2:01,C,12
2017-06-20 3:01,C,12
2017-06-20 4:01,C,11.5
2017-06-20 5:01,C,11.5
2017-06-20 6:01,C,11
2017-06-20 7:01,C,14.5
2017-06-20 8:01,C,22
2017-06-20 9:01,C,27.5
2017-06-20 10:01,C,32
2017-06-20 11:01,C,34.5
2017-06-20 12:01,C,36.5
2017-06-20 13:01,C,38
2017-06-20 14:01,C,29
2017-06-20 15:01,C,12.5
2017-06-20 16:01,C,12.5
2017-06-20 17:01,C,11.5
2017-06-20 18:01,C,11.5
2017-06-20 19:01,C,11.5
2017-06-20 20:01,C,11.5
2017-06-20 21:01,C,12
2017-06-20 22:01,C,12
2017-06-20 23:01,C,12.5
2018-06-20 0:01,C,13
2018-06-20 1:01,C,12.5
2018-06-20 2:01,C,12.5
2018-06-20 3:01,C,12.5
2018-06-20 4:01,C,12
2018-06-20 5:01,C,12
2018-06-20 6:01,C,13.5
2018-06-20 7:01,C,17.5
2018-06-20 8:01,C,22
2018-06-20 9:01,C,29
2018-06-20 10:01,C,34
2018-06-20 11:01,C,37.5
2018-06-20 12:01,C,40
2018-06-20 13:01,C,39.5
2018-06-20 14:01,C,39.5
2018-06-20 15:01,C,22.5
2018-06-20 16:01,C,12.5
2018-06-20 17:01,C,11.5
2018-06-20 18:01,C,11.5
2018-06-20 19:01,C,11.5
2018-06-20 20:01,C,11.5
2018-06-20 21:01,C,11.5
2018-06-20 22:01,C,12
2018-06-20 23:01,C,12
2019-06-20 0:01,C,12.5
2019-06-20 1:01,C,12.5
2019-06-20 2:01,C,12.5
2019-06-20 3:01,C,12.5
2019-06-20 4:01,C,12
2019-06-20 5:01,C,12
2019-06-20 6:01,C,12
2019-06-20 7:01,C,14.5
2019-06-20 8:01,C,21
2019-06-20 9:01,C,23
2019-06-20 10:01,C,28.5
2019-06-20 11:01,C,27
2019-06-20 12:01,C,34
2019-06-20 13:01,C,30
2019-06-20 14:01,C,29.5
2019-06-20 15:01,C,24
2019-06-20 16:01,C,12
2019-06-20 17:01,C,12
2019-06-20 18:01,C,11.5
2019-06-20 19:01,C,11
2019-06-20 20:01,C,11.5
2019-06-20 21:01,C,11.5
2019-06-20 22:01,C,11.5
2019-06-20 23:01,C,11.5
2020-06-20 0:01,C,12
2020-06-20 1:01,C,12
2020-06-20 2:01,C,12
2020-06-20 3:01,C,12
2020-06-20 4:01,C,11.5
2020-06-20 5:01,C,11.5
2020-06-20 6:01,C,11.5
2020-06-20 7:01,C,13
2020-06-20 8:01,C,14
2020-06-20 9:01,C,16
2020-06-20 10:01,C,17.5
2020-06-20 11:01,C,19.5
2020-06-20 12:01,C,20
2020-06-20 13:01,C,19.5
2020-06-20 14:01,C,20.5
2020-06-20 15:01,C,23
2020-06-20 16:01,C,13.5
2020-06-20 17:01,C,12
2020-06-20 18:01,C,11.5
2020-06-20 19:01,C,11.5
2020-06-20 20:01,C,11
2020-06-20 21:01,C,11.5
2020-06-20 22:01,C,11.5
2020-06-20 23:01,C,11.5
2021-06-20 0:01,C,11.5
2021-06-20 1:01,C,11.5
2021-06-20 2:01,C,11.5
2021-06-20 3:01,C,11.5
2021-06-20 4:01,C,11.5
2021-06-20 5:01,C,11.5
2021-06-20 6:01,C,11
2021-06-20 7:01,C,11.5
2021-06-20 8:01,C,16
2021-06-20 9:01,C,17
2021-06-20 10:01,C,21
2021-06-20 11:01,C,33
2021-06-20 12:01,C,34.5
2021-06-20 13:01,C,36
2021-06-20 14:01,C,37.5
2021-06-20 15:01,C,36
2021-06-20 16:01,C,29
2021-06-20 17:01,C,13
2021-06-20 18:01,C,12.5
2021-06-20 19:01,C,12
2021-06-20 20:01,C,12
2021-06-20 21:01,C,11.5
2021-06-20 22:01,C,11.5
2021-06-20 23:01,C,11.5
2022-06-20 0:01,C,11.5
2022-06-20 1:01,C,11.5
2022-06-20 2:01,C,11.5
2022-06-20 3:01,C,11.5
2022-06-20 4:01,C,11.5
2022-06-20 5:01,C,11.5
2022-06-20 6:01,C,11.5
2022-06-20 7:01,C,11.5
2022-06-20 8:01,C,15
2022-06-20 9:01,C,23.5
2022-06-20 10:01,C,31.5
2022-06-20 11:01,C,33.5
2022-06-20 12:01,C,36.5
2022-06-20 13:01,C,38
2022-06-20 14:01,C,38.5
2022-06-20 15:01,C,33.5
2022-06-20 16:01,C,33
2022-06-20 17:01,C,17
2022-06-20 18:01,C,12
2022-06-20 19:01,C,12
2022-06-20 20:01,C,11.5
2022-06-20 21:01,C,11
2022-06-20 22:01,C,11.5
2022-06-20 23:01,C,11.5
2023-06-20 0:01,C,11.5
2023-06-20 1:01,C,11.5
2023-06-20 2:01,C,11.5
2023-06-20 3:01,C,11.5
2023-06-20 4:01,C,12
2023-06-20 5:01,C,11.5
2023-06-20 6:01,C,11
2023-06-20 7:01,C,11.5
2023-06-20 8:01,C,11.5
2023-06-20 9:01,C,18.5
2023-06-20 10:01,C,32
2023-06-20 11:01,C,27
2023-06-20 12:01,C,27
2023-06-20 13:01,C,25.5
2023-06-20 14:01,C,28.5
2023-06-20 15:01,C,26.5
2023-06-20 16:01,C,19
2023-06-20 17:01,C,22
2023-06-20 18:01,C,13
2023-06-20 19:01,C,12
2023-06-20 20:01,C,12
2023-06-20 21:01,C,11.5
2023-06-20 22:01,C,11.5
2023-06-20 23:01,C,11.5
2024-06-20 0:01,C,11.5
2024-06-20 1:01,C,11.5
2024-06-20 2:01,C,11.5
2024-06-20 3:01,C,12
2024-06-20 4:01,C,11.5
2024-06-20 5:01,C,12
2024-06-20 6:01,C,12
2024-06-20 7:01,C,12
2024-06-20 8:01,C,12
2024-06-20 9:01,C,12.5
2024-06-20 10:01,C,19.5
