date,treatment,mean_cover,se_cover
2019-06-05,C,9.382608695652173,2.6657698751983876
2019-06-05,W,4.861,1.2609117935130942
2019-06-15,C,21.51808510638298,3.5282825255159262
2019-06-15,W,16.10612244897959,3.1397825980938667
2019-07-04,C,37.12234042553192,4.7052880796370244
2019-07-04,W,22.285714285714285,3.283643239630345
2019-07-18,C,60.212765957446805,4.613953033965753
2019-07-18,W,44.98979591836735,3.767123314793424
2019-07-31,C,78.65957446808511,3.604143287901691
2019-07-31,W,69.15816326530613,3.3893127937283083
2019-08-14,C,67.64893617021276,3.3990637448751335
2019-08-14,W,83,2.187433186540387
2019-10-20,C,38.244680851063826,4.892263482721697
2019-10-20,W,65.87959183673469,4.6341924455485834
2020-01-21,C,3.6785714285714284,0.7530081810468006
2020-01-21,W,2.5319148936170213,0.36352048783862795
2020-03-15,C,7.579268292682927,2.8497491201140357
2020-03-15,CC,3.5795454545454546,2.0249650178446754
2020-03-15,CW,12.210526315789474,5.584192888728753
2020-03-15,W,1.7793478260869566,0.8158256185138871
2020-03-15,WC,1.825,1.0583471473058952
2020-03-15,WW,1.814,1.2575489387428758
2020-06-04,CC,0.1409090909090909,0.1409090909090909
2020-06-04,CW,0,0
2020-06-04,WC,0.005,0.005
2020-06-04,WW,0,0
2020-07-09,CC,0,0
2020-07-09,CW,0,0
2020-07-09,WC,0,0
2020-07-09,WW,0,0
2020-09-14,CC,0,0
2020-09-14,CW,0,0
2020-09-14,WC,0.08333333333333333,0.08333333333333334
2020-09-14,WW,4.1875,4.1875
2020-12-11,CC,15.608333333333333,7.721462201898909
2020-12-11,CW,25.3625,10.64548760038731
2020-12-11,WC,26.118181818181817,11.010349001006597
2020-12-11,WW,18.725,7.625999934434828
2021-02-24,CC,4,2.881497926952283
2021-02-24,CW,9.75,4.136078197658121
2021-02-24,WC,18.5,4.3127717305695645
2021-02-24,WW,7.30625,3.2969236765758874
