current_trt,date,amdt,se_amdt
warm,2019-04-12,19.775,0.22642002040682188
warm,2019-04-13,11.0125,0.18647153835206223
warm,2019-04-14,10.6125,0.07045525039123988
warm,2019-04-15,10.9875,0.1297031868022782
warm,2019-04-16,11.425,0.18993082411424939
warm,2019-04-17,14.1,0.14455945454184552
warm,2019-04-18,11.3125,0.038760854559127644
warm,2019-04-19,24.55,0.253058217686092
warm,2019-04-20,24.3125,0.3702422543728321
warm,2019-04-21,24.325,0.20139736203807992
warm,2019-04-22,16.375,0.09259437320225214
warm,2019-04-23,24.5875,0.24992787421112578
warm,2019-04-24,26.9,0.2280069724529921
warm,2019-04-25,21.8625,0.2649307480872148
warm,2019-04-26,23.375,0.42808083947801856
warm,2019-04-27,16.6625,0.5504623639292372
warm,2019-04-28,16.2875,0.31768770950295006
warm,2019-04-29,16.6625,0.5248282686159936
warm,2019-04-30,20.85,0.45439449707754936
warm,2019-05-01,27.0875,0.42323824138936095
warm,2019-05-02,20.0125,0.33707237866894174
warm,2019-05-03,30.8625,0.31162698568180547
warm,2019-05-04,28.1,0.263847275171423
warm,2019-05-05,28.35,0.33883283829595423
warm,2019-05-06,29.8375,0.3024406595749033
warm,2019-05-07,29.8375,0.3360724795910274
warm,2019-05-08,29.9125,0.3386850041724346
warm,2019-05-09,33.2875,0.26607757447974756
warm,2019-05-10,35.2375,0.26673927296817346
warm,2019-05-11,26.35,0.238316746778047
warm,2019-05-12,17.0875,0.12388929611676583
warm,2019-05-13,13.525,0.10276622711716839
warm,2019-05-14,12.4125,0.06671672799884444
warm,2019-05-15,24.5625,0.3023346655611956
warm,2019-05-16,21.8,0.2857738033247041
warm,2019-05-17,25.6875,0.2617051457907034
warm,2019-05-18,33.3375,0.3586779052905123
warm,2019-05-19,35.65,0.2186790177875162
warm,2019-05-20,13.725,0.07149950690165273
warm,2019-05-21,29.4375,0.26383968277180786
warm,2019-05-22,32,0.30905148521374315
warm,2019-05-23,35.525,0.2819062855740429
warm,2019-05-24,15.9125,0.09454258977863511
warm,2019-05-25,18.9375,0.19214335927327936
warm,2019-05-26,22.5625,0.23695957407032478
warm,2019-05-27,22.575,0.40173900827431575
warm,2019-05-28,15.75,0.35173562332801706
warm,2019-05-29,25.6625,0.36443999013590206
warm,2019-05-30,31.2625,0.3452922860715437
warm,2019-05-31,34.975,0.3629252589580168
warm,2019-06-01,35.25,0.28644594961577313
warm,2019-06-02,31.8875,0.28107366266897693
