Balanus_glandula,Chthamalus_dalli,Lottia_paradigitalis,Ulothrix_sp,Littorina_scutulata,Littorina_sitkana,Lottia_digitalis,Lottia_scutum,Mytilus_trossulus,Amphipoda,Annelida,Onchidoris_bilamellata,Pagurus_hirsutiusculus,Pyropia_sp,Ulva_sp,Isopoda,Lottia_pelta,Lottia_sp_recruits,Fucus_distichus,Leathesia_marina,Emplectonema_gracile,Mastocarpus_sp_crust,Petalonia_fascia,Scunge,Endocladia_muricata,Savoiea_robusta
0.3132764505119454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14301083246772517,0.06411201179071481,0,0.09382608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0893580713092731,0.007032095203750451,5.319148936170213e-4,0.21518085106382978,0.0025789813023855577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07737273981555443,0.0018031013342949874,5.319148936170213e-4,0.37122340425531913,0.0019342359767891683,0,0.10638297872340426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06230484351172754,0.00847457627118644,0.011702127659574468,0.6021276595744681,0.005802707930367505,1.3381506757660912e-4,0.1347517730496454,0.02127659574468085,0.010638297872340425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057838936896376446,0.0018031013342949874,0.007446808510638298,0.786595744680851,0.005480335267569311,1.3381506757660912e-4,0.09929078014184396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06306731537288504,3.606202668589975e-4,0.026595744680851064,0.6764893617021277,0.0032237266279819474,0,0.1702127659574468,0,0.031914893617021274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07189493990206262,0.005048683736025965,0.029891304347826088,0.3690217391304348,0.004835589941972921,0.015923993041616485,0,0,0,0.07008760951188986,0.010638297872340425,1,0.02127659574468085,0.03306887847097007,0.0032702915681639085,0,0,0,0,0,0,0,0,0,0,0
0.07711685356736551,0.0036319612590799033,0.026785714285714288,0.009642857142857142,0.02922077922077922,0.036837376460017966,0.04444444444444444,0.125,0,0.0392156862745098,0,0,0,0.023405972558514933,0.024691358024691357,0.14285714285714285,0.17857142857142858,0.11330049261083744,0,0,0,0,0,0,0,0
0.05718804628319321,0.002687060768912774,0.024390243902439025,0.0012195121951219512,0.03325942350332594,0.01058444546709618,0.047619047619047616,0,0,0.0014347202295552368,0,0,0,0.06510954940057875,0.06583107497741644,0,0.10714285714285714,0.061224489795918366,1,0.3333333333333333,0,0,0,0,0,0
0.3455972696245734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08402730375426622,0.026016949152542372,0.0025,0.04861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05204778156996587,0.0013836042891732965,0,0.16106122448979593,0.004103535353535354,1.2835322808368632e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019467855401546285,0.0012106537530266344,0,0.22285714285714286,0.004019789734075448,0,0.02040816326530612,0,0.04081632653061224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
