"","X1","date","block","number","species","percent_cover","colour","timediff"
"72",374,2019-06-05,"F",11,"ulothrix",0.25,"ambient",7.67261904761905
"73",375,2019-06-05,"F",12,"ulothrix",0.5,"ambient",7.67261904761905
"74",376,2019-06-05,"F",13,"ulothrix",0.5,"warm",7.67261904761905
"75",377,2019-06-05,"F",14,"ulothrix",1,"ambient",7.67261904761905
"76",378,2019-06-05,"C",1,"ulothrix",0,"warm",7.67261904761905
"77",379,2019-06-05,"B",2,"ulothrix",43,"warm",7.67261904761905
"78",381,2019-06-05,"A",1,"ulothrix",15,"warm",7.67261904761905
"79",382,2019-06-05,"A",2,"ulothrix",19,"warm",7.67261904761905
"80",383,2019-06-05,"A",3,"ulothrix",6,"ambient",7.67261904761905
"81",384,2019-06-05,"A",4,"ulothrix",1,"warm",7.67261904761905
"82",385,2019-06-05,"A",5,"ulothrix",0.5,"warm",7.67261904761905
"83",386,2019-06-05,"A",6,"ulothrix",0.1,"warm",7.67261904761905
"84",387,2019-06-05,"A",7,"ulothrix",0.1,"ambient",7.67261904761905
"85",388,2019-06-05,"A",8,"ulothrix",7,"ambient",7.67261904761905
"86",389,2019-06-05,"A",9,"ulothrix",0.25,"ambient",7.67261904761905
"87",390,2019-06-05,"A",10,"ulothrix",0.5,"warm",7.67261904761905
"88",391,2019-06-05,"A",11,"ulothrix",6,"ambient",7.67261904761905
"89",392,2019-06-05,"A",12,"ulothrix",1.5,"ambient",7.67261904761905
"90",393,2019-06-05,"B",16,"ulothrix",0,"warm",7.67261904761905
"91",394,2019-06-05,"B",14,"ulothrix",0.1,"warm",7.67261904761905
"92",397,2019-06-05,"A",13,"ulothrix",0,"ambient",7.67261904761905
"93",398,2019-06-05,"A",14,"ulothrix",0,"warm",7.67261904761905
"94",399,2019-06-05,"A",15,"ulothrix",0.1,"warm",7.67261904761905
"95",400,2019-06-05,"A",16,"ulothrix",1,"ambient",7.67261904761905
"96",613,2019-06-15,"A",1,"ulothrix",28,"warm",9.10119047619048
"97",614,2019-06-15,"A",2,"ulothrix",55,"warm",9.10119047619048
"98",615,2019-06-15,"A",3,"ulothrix",27,"ambient",9.10119047619048
"99",616,2019-06-15,"A",4,"ulothrix",1,"warm",9.10119047619048
"100",617,2019-06-15,"A",5,"ulothrix",7,"warm",9.10119047619048
"101",618,2019-06-15,"A",6,"ulothrix",1,"warm",9.10119047619048
"102",619,2019-06-15,"A",7,"ulothrix",0.25,"ambient",9.10119047619048
"103",620,2019-06-15,"A",8,"ulothrix",17,"ambient",9.10119047619048
"104",621,2019-06-15,"A",9,"ulothrix",2,"ambient",9.10119047619048
