"","date_time","temp","block","number","colour"
"111","2019-06-11 08:02:00",23.5,"A","rock","rock"
"112","2019-06-11 09:02:00",26.5,"A","rock","rock"
"113","2019-06-11 10:02:00",29,"A","rock","rock"
"114","2019-06-11 11:02:00",27,"A","rock","rock"
"115","2019-06-11 12:02:00",21,"A","rock","rock"
"116","2019-06-11 13:02:00",23,"A","rock","rock"
"117","2019-06-11 14:02:00",24,"A","rock","rock"
"118","2019-06-11 15:02:00",25.5,"A","rock","rock"
"119","2019-06-11 16:02:00",25.5,"A","rock","rock"
"120","2019-06-11 17:02:00",23.5,"A","rock","rock"
"121","2019-06-11 18:02:00",22,"A","rock","rock"
"122","2019-06-11 19:02:00",19,"A","rock","rock"
"123","2019-06-11 20:02:00",17.5,"A","rock","rock"
"124","2019-06-11 21:02:00",15.5,"A","rock","rock"
"125","2019-06-11 22:02:00",12.5,"A","rock","rock"
"126","2019-06-11 23:02:00",12.5,"A","rock","rock"
"127","2019-06-12 00:02:00",12,"A","rock","rock"
"128","2019-06-12 01:02:00",12,"A","rock","rock"
"129","2019-06-12 02:02:00",11.5,"A","rock","rock"
"130","2019-06-12 03:02:00",12,"A","rock","rock"
"131","2019-06-12 04:02:00",12,"A","rock","rock"
"132","2019-06-12 05:02:00",11.5,"A","rock","rock"
"133","2019-06-12 06:02:00",13.5,"A","rock","rock"
"134","2019-06-12 07:02:00",19,"A","rock","rock"
"135","2019-06-12 08:02:00",24.5,"A","rock","rock"
"136","2019-06-12 09:02:00",29.5,"A","rock","rock"
"137","2019-06-12 10:02:00",31.5,"A","rock","rock"
"138","2019-06-12 11:02:00",31,"A","rock","rock"
"139","2019-06-12 12:02:00",33,"A","rock","rock"
"140","2019-06-12 13:02:00",16,"A","rock","rock"
"141","2019-06-12 14:02:00",13.5,"A","rock","rock"
"142","2019-06-12 15:02:00",12.5,"A","rock","rock"
"143","2019-06-12 16:02:00",12.5,"A","rock","rock"
"144","2019-06-12 17:02:00",15,"A","rock","rock"
"145","2019-06-12 18:02:00",16,"A","rock","rock"
"146","2019-06-12 19:02:00",15.5,"A","rock","rock"
"147","2019-06-12 20:02:00",15.5,"A","rock","rock"
"148","2019-06-12 21:02:00",14.5,"A","rock","rock"
"149","2019-06-12 22:02:00",13,"A","rock","rock"
"150","2019-06-12 23:02:00",12.5,"A","rock","rock"
"151","2019-06-13 00:02:00",12.5,"A","rock","rock"
"152","2019-06-13 01:02:00",12.5,"A","rock","rock"
"153","2019-06-13 02:02:00",13,"A","rock","rock"
"154","2019-06-13 03:02:00",13,"A","rock","rock"
"155","2019-06-13 04:02:00",12,"A","rock","rock"
"156","2019-06-13 05:02:00",12.5,"A","rock","rock"
"157","2019-06-13 06:02:00",13.5,"A","rock","rock"
"158","2019-06-13 07:02:00",19.5,"A","rock","rock"
"159","2019-06-13 08:02:00",23.5,"A","rock","rock"
"160","2019-06-13 09:02:00",28,"A","rock","rock"
"161","2019-06-13 10:02:00",32.5,"A","rock","rock"
"162","2019-06-13 11:02:00",34,"A","rock","rock"
"163","2019-06-13 12:02:00",30,"A","rock","rock"
"164","2019-06-13 13:02:00",24.5,"A","rock","rock"
"165","2019-06-13 14:02:00",13.5,"A","rock","rock"
"166","2019-06-13 15:02:00",13,"A","rock","rock"
"167","2019-06-13 16:02:00",12,"A","rock","rock"
"168","2019-06-13 17:02:00",12,"A","rock","rock"
"169","2019-06-13 18:02:00",12,"A","rock","rock"
"170","2019-06-13 19:02:00",12,"A","rock","rock"
"171","2019-06-13 20:02:00",12.5,"A","rock","rock"
"172","2019-06-13 21:02:00",12.5,"A","rock","rock"
"173","2019-06-13 22:02:00",12.5,"A","rock","rock"
"174","2019-06-13 23:02:00",12.5,"A","rock","rock"
"175","2019-06-14 00:02:00",12.5,"A","rock","rock"
"176","2019-06-14 01:02:00",12.5,"A","rock","rock"
"177","2019-06-14 02:02:00",12.5,"A","rock","rock"
"178","2019-06-14 03:02:00",12,"A","rock","rock"
"179","2019-06-14 04:02:00",12,"A","rock","rock"
"180","2019-06-14 05:02:00",12,"A","rock","rock"
"181","2019-06-14 06:02:00",12,"A","rock","rock"
"182","2019-06-14 07:02:00",14,"A","rock","rock"
"183","2019-06-14 08:02:00",14.5,"A","rock","rock"
"184","2019-06-14 09:02:00",15,"A","rock","rock"
"185","2019-06-14 10:02:00",19,"A","rock","rock"
"186","2019-06-14 11:02:00",25,"A","rock","rock"
"187","2019-06-14 12:02:00",29,"A","rock","rock"
"188","2019-06-14 13:02:00",30,"A","rock","rock"
"189","2019-06-14 14:02:00",26,"A","rock","rock"
"190","2019-06-14 15:02:00",14,"A","rock","rock"
"191","2019-06-14 16:02:00",13,"A","rock","rock"
"192","2019-06-14 17:02:00",12,"A","rock","rock"
"193","2019-06-14 18:02:00",11.5,"A","rock","rock"
"194","2019-06-14 19:02:00",12,"A","rock","rock"
"195","2019-06-14 20:02:00",12,"A","rock","rock"
