original_block,original_no,new_block,new_no,colour
A,1,D,1,white
A,2,D,2,white
A,3,C,15,white
A,4,D,3,black
A,5,D,4,white
A,6,D,5,white
A,7,D,6,white
A,8,D,7,black
A,9,D,8,black
A,10,D,9,black
A,11,D,10,white
A,12,D,11,white
A,13,D,12,black
A,14,D,13,white
A,15,D,14,black
A,16,D,15,black
A,17,D,16,black
A,18,C,12,black
A,19,C,14,white
A,20,NA,NA,black
B,1,A,1,black
B,2,A,2,black
B,3,A,3,white
B,4,A,4,black
B,5,A,5,black
B,6,A,6,black
B,7,A,7,white
B,8,A,8,white
B,9,A,9,white
B,10,A,10,black
B,11,A,11,white
B,12,A,12,white
B,13,C,11,black
B,14,C,10,black
B,15,NA,NA,white
B,16,NA,NA,white
B,17,A,13,white
B,18,A,14,black
B,19,A,15,black
B,20,A,16,white
C,1,E,1,black
C,2,E,2,white
C,3,E,3,black
C,4,C,6,black
C,5,C,16,white
C,6,C,9,white
C,7,C,4,black
C,8,E,4,black
C,9,E,5,white
C,10,E,6,black
C,11,E,7,black
C,12,E,8,white
C,13,E,9,white
C,14,E,10,white
C,15,E,11,black
C,16,E,12,white
C,17,E,13,white
C,18,E,14,white
C,19,E,15,black
C,20,E,16,black
D,1,F,1,black
D,2,F,2,black
D,3,F,3,white
D,4,F,4,white
D,5,F,5,black
D,6,C,8,black
D,7,F,6,black
D,8,C,7,black
D,9,F,7,white
D,10,F,8,black
D,11,F,9,white
D,12,F,10,black
D,13,F,11,white
D,14,F,12,white
D,15,F,13,black
D,16,F,14,white
D,17,F,15,white
D,18,F,16,black
D,19,C,13,white
D,20,NA,NA,white
E,1,B,7,black
E,2,B,8,black
E,3,B,11,white
E,4,C,5,white
E,5,C,2,white
E,6,B,14,black
E,7,B,16,black
E,8,C,1,black
E,9,C,3,white
E,10,B,2,black
E,11,B,9,white
E,12,B,10,black
E,13,B,5,white
E,14,B,1,black
E,15,B,13,white
E,16,B,12,black
E,17,B,15,white
E,18,B,3,white
E,19,B,4,white
E,20,B,6,black
